========================================
Auto-Start Baseline Training Script
========================================

Monitoring GPU: 1
Target steps: 1100000
Check interval: 30s

[2026-03-06 10:07:26] Starting monitoring...

[11:01:01] Step: 952470/1100000 (86.6%) | Process: Running
[11:01:32] Step: 952470/1100000 (86.6%) | Process: Running
[11:02:04] Step: 952470/1100000 (86.6%) | Process: Running
[11:02:36] Step: 953420/1100000 (86.7%) | Process: Running
[11:03:08] Step: 953420/1100000 (86.7%) | Process: Running
[11:03:40] Step: 953420/1100000 (86.7%) | Process: Running
[11:04:12] Step: 953420/1100000 (86.7%) | Process: Running
[11:04:44] Step: 954370/1100000 (86.8%) | Process: Running
[11:05:16] Step: 954370/1100000 (86.8%) | Process: Running
[11:05:48] Step: 954370/1100000 (86.8%) | Process: Running
[11:06:20] Step: 954370/1100000 (86.8%) | Process: Running
[11:06:52] Step: 955330/1100000 (86.8%) | Process: Running
[11:07:23] Step: 955330/1100000 (86.8%) | Process: Running
[11:07:55] Step: 955330/1100000 (86.8%) | Process: Running
[11:08:27] Step: 955330/1100000 (86.8%) | Process: Running
[11:08:59] Step: 956290/1100000 (86.9%) | Process: Running
[11:09:31] Step: 956290/1100000 (86.9%) | Process: Running
[11:10:03] Step: 956290/1100000 (86.9%) | Process: Running
[11:10:35] Step: 957240/1100000 (87.0%) | Process: Running
[11:11:07] Step: 957240/1100000 (87.0%) | Process: Running
[11:11:39] Step: 957240/1100000 (87.0%) | Process: Running
[11:12:10] Step: 957240/1100000 (87.0%) | Process: Running
[11:12:42] Step: 958190/1100000 (87.1%) | Process: Running
[11:13:14] Step: 958190/1100000 (87.1%) | Process: Running
[11:13:46] Step: 958190/1100000 (87.1%) | Process: Running
[11:14:18] Step: 958190/1100000 (87.1%) | Process: Running
[11:14:50] Step: 958970/1100000 (87.2%) | Process: Running
[11:15:22] Step: 958970/1100000 (87.2%) | Process: Running
[11:15:54] Step: 958970/1100000 (87.2%) | Process: Running
[11:16:26] Step: 958970/1100000 (87.2%) | Process: Running
[11:16:58] Step: 959920/1100000 (87.3%) | Process: Running
[11:17:30] Step: 959920/1100000 (87.3%) | Process: Running
[11:18:01] Step: 959920/1100000 (87.3%) | Process: Running
[11:18:33] Step: 960870/1100000 (87.4%) | Process: Running
[11:19:05] Step: 960870/1100000 (87.4%) | Process: Running
[11:19:37] Step: 960870/1100000 (87.4%) | Process: Running
[11:20:09] Step: 960870/1100000 (87.4%) | Process: Running
[11:20:41] Step: 961840/1100000 (87.4%) | Process: Running
[11:21:13] Step: 961840/1100000 (87.4%) | Process: Running
[11:21:45] Step: 961840/1100000 (87.4%) | Process: Running
[11:22:17] Step: 961840/1100000 (87.4%) | Process: Running
[11:22:49] Step: 962790/1100000 (87.5%) | Process: Running
[11:23:21] Step: 962790/1100000 (87.5%) | Process: Running
[11:23:53] Step: 962790/1100000 (87.5%) | Process: Running
[11:24:25] Step: 962790/1100000 (87.5%) | Process: Running
[11:24:56] Step: 963740/1100000 (87.6%) | Process: Running
[11:25:28] Step: 963740/1100000 (87.6%) | Process: Running
[11:26:00] Step: 963740/1100000 (87.6%) | Process: Running
[11:26:32] Step: 963740/1100000 (87.6%) | Process: Running
[11:27:04] Step: 964700/1100000 (87.7%) | Process: Running
[11:27:36] Step: 964700/1100000 (87.7%) | Process: Running
[11:28:11] Step: 964700/1100000 (87.7%) | Process: Running
[11:28:43] Step: 965480/1100000 (87.8%) | Process: Running
[11:29:15] Step: 965480/1100000 (87.8%) | Process: Running
[11:29:47] Step: 965480/1100000 (87.8%) | Process: Running
[11:30:19] Step: 965480/1100000 (87.8%) | Process: Running
[11:30:51] Step: 966430/1100000 (87.9%) | Process: Running
[11:31:23] Step: 966430/1100000 (87.9%) | Process: Running
[11:31:55] Step: 966430/1100000 (87.9%) | Process: Running
[11:32:27] Step: 966430/1100000 (87.9%) | Process: Running
[11:32:59] Step: 967400/1100000 (87.9%) | Process: Running
[11:33:31] Step: 967400/1100000 (87.9%) | Process: Running
[11:34:03] Step: 967400/1100000 (87.9%) | Process: Running
[11:34:35] Step: 967400/1100000 (87.9%) | Process: Running
[11:35:07] Step: 968360/1100000 (88.0%) | Process: Running
[11:35:38] Step: 968360/1100000 (88.0%) | Process: Running
[11:36:10] Step: 968360/1100000 (88.0%) | Process: Running
[11:36:42] Step: 969320/1100000 (88.1%) | Process: Running
[11:37:14] Step: 969320/1100000 (88.1%) | Process: Running
[11:37:46] Step: 969320/1100000 (88.1%) | Process: Running
[11:38:18] Step: 969320/1100000 (88.1%) | Process: Running
[11:38:50] Step: 970290/1100000 (88.2%) | Process: Running
[11:39:22] Step: 970290/1100000 (88.2%) | Process: Running
[11:39:54] Step: 970290/1100000 (88.2%) | Process: Running
[11:40:26] Step: 970290/1100000 (88.2%) | Process: Running
[11:40:58] Step: 971260/1100000 (88.3%) | Process: Running
[11:41:30] Step: 971260/1100000 (88.3%) | Process: Running
[11:42:02] Step: 971260/1100000 (88.3%) | Process: Running
[11:42:34] Step: 971260/1100000 (88.3%) | Process: Running
[11:43:09] Step: 972210/1100000 (88.4%) | Process: Running
[11:43:41] Step: 972210/1100000 (88.4%) | Process: Running
[11:44:13] Step: 972210/1100000 (88.4%) | Process: Running
[11:44:44] Step: 972970/1100000 (88.5%) | Process: Running
[11:45:16] Step: 972970/1100000 (88.5%) | Process: Running
[11:45:48] Step: 972970/1100000 (88.5%) | Process: Running
[11:46:20] Step: 972970/1100000 (88.5%) | Process: Running
[11:46:52] Step: 973930/1100000 (88.5%) | Process: Running
[11:47:24] Step: 973930/1100000 (88.5%) | Process: Running
[11:47:56] Step: 973930/1100000 (88.5%) | Process: Running
[11:48:28] Step: 973930/1100000 (88.5%) | Process: Running
[11:49:00] Step: 974870/1100000 (88.6%) | Process: Running
[11:49:32] Step: 974870/1100000 (88.6%) | Process: Running
[11:50:04] Step: 974870/1100000 (88.6%) | Process: Running
[11:50:36] Step: 974870/1100000 (88.6%) | Process: Running
[11:51:08] Step: 975830/1100000 (88.7%) | Process: Running
[11:51:40] Step: 975830/1100000 (88.7%) | Process: Running
[11:52:11] Step: 975830/1100000 (88.7%) | Process: Running
[11:52:43] Step: 976780/1100000 (88.8%) | Process: Running
[11:53:15] Step: 976780/1100000 (88.8%) | Process: Running
[11:53:47] Step: 976780/1100000 (88.8%) | Process: Running
[11:54:19] Step: 976780/1100000 (88.8%) | Process: Running
[11:54:51] Step: 977740/1100000 (88.9%) | Process: Running
[11:55:23] Step: 977740/1100000 (88.9%) | Process: Running
[11:55:55] Step: 977740/1100000 (88.9%) | Process: Running
[11:56:27] Step: 977740/1100000 (88.9%) | Process: Running
[11:56:59] Step: 978690/1100000 (89.0%) | Process: Running
[11:57:31] Step: 978690/1100000 (89.0%) | Process: Running
[11:58:03] Step: 978690/1100000 (89.0%) | Process: Running
[11:58:40] Step: 978690/1100000 (89.0%) | Process: Running
[11:59:12] Step: 979250/1100000 (89.0%) | Process: Running
[11:59:44] Step: 979250/1100000 (89.0%) | Process: Running
[12:00:16] Step: 979250/1100000 (89.0%) | Process: Running
[12:00:47] Step: 980200/1100000 (89.1%) | Process: Running
[12:01:19] Step: 980200/1100000 (89.1%) | Process: Running
[12:01:51] Step: 980200/1100000 (89.1%) | Process: Running
[12:02:23] Step: 980200/1100000 (89.1%) | Process: Running
[12:02:55] Step: 981150/1100000 (89.2%) | Process: Running
[12:03:27] Step: 981150/1100000 (89.2%) | Process: Running
[12:03:59] Step: 981150/1100000 (89.2%) | Process: Running
[12:04:31] Step: 981150/1100000 (89.2%) | Process: Running
[12:05:03] Step: 982100/1100000 (89.3%) | Process: Running
[12:05:34] Step: 982100/1100000 (89.3%) | Process: Running
[12:06:06] Step: 982100/1100000 (89.3%) | Process: Running
[12:06:38] Step: 982100/1100000 (89.3%) | Process: Running
[12:07:10] Step: 983060/1100000 (89.4%) | Process: Running
[12:07:42] Step: 983060/1100000 (89.4%) | Process: Running
[12:08:14] Step: 983060/1100000 (89.4%) | Process: Running
[12:08:46] Step: 983060/1100000 (89.4%) | Process: Running
[12:09:18] Step: 984010/1100000 (89.5%) | Process: Running
[12:09:50] Step: 984010/1100000 (89.5%) | Process: Running
[12:10:22] Step: 984010/1100000 (89.5%) | Process: Running
[12:10:54] Step: 984980/1100000 (89.5%) | Process: Running
[12:11:26] Step: 984980/1100000 (89.5%) | Process: Running
[12:11:58] Step: 984980/1100000 (89.5%) | Process: Running
[12:12:29] Step: 984980/1100000 (89.5%) | Process: Running
[12:13:01] Step: 985920/1100000 (89.6%) | Process: Running
[12:13:33] Step: 985920/1100000 (89.6%) | Process: Running
[12:14:05] Step: 985920/1100000 (89.6%) | Process: Running
[12:14:37] Step: 985920/1100000 (89.6%) | Process: Running
[12:15:09] Step: 986580/1100000 (89.7%) | Process: Running
[12:15:42] Step: 986580/1100000 (89.7%) | Process: Running
[12:16:14] Step: 986580/1100000 (89.7%) | Process: Running
[12:16:46] Step: 986580/1100000 (89.7%) | Process: Running
[12:17:18] Step: 987550/1100000 (89.8%) | Process: Running
[12:17:50] Step: 987550/1100000 (89.8%) | Process: Running
[12:18:22] Step: 987550/1100000 (89.8%) | Process: Running
[12:18:54] Step: 988500/1100000 (89.9%) | Process: Running
[12:19:26] Step: 988500/1100000 (89.9%) | Process: Running
[12:19:58] Step: 988500/1100000 (89.9%) | Process: Running
[12:20:30] Step: 988500/1100000 (89.9%) | Process: Running
[12:21:02] Step: 989470/1100000 (90.0%) | Process: Running
[12:21:34] Step: 989470/1100000 (90.0%) | Process: Running
[12:22:06] Step: 989470/1100000 (90.0%) | Process: Running
[12:22:38] Step: 989470/1100000 (90.0%) | Process: Running
[12:23:10] Step: 990440/1100000 (90.0%) | Process: Running
[12:23:42] Step: 990440/1100000 (90.0%) | Process: Running
[12:24:13] Step: 990440/1100000 (90.0%) | Process: Running
[12:24:45] Step: 990440/1100000 (90.0%) | Process: Running
[12:25:17] Step: 991390/1100000 (90.1%) | Process: Running
[12:25:49] Step: 991390/1100000 (90.1%) | Process: Running
[12:26:21] Step: 991390/1100000 (90.1%) | Process: Running
[12:26:53] Step: 991390/1100000 (90.1%) | Process: Running
[12:27:25] Step: 992360/1100000 (90.2%) | Process: Running
